SBD,Toan,Van,Ly,Hoa,Sinh,KHTN,Su,Dia,GDCD,KHXH,Anh
52000263,9,7,7,8.25,6.25,,,,,,8.6
52000264,5,4.5,,,,,3.75,5.25,,,
52000265,6.8,7.25,4.75,6.5,4.5,,,,,,8.2
52000266,6.4,7.58,,,,,7.75,7.5,10,,8.8
52000267,7.4,6.25,5.75,6.25,6,,,,,,5.8
52000268,7.2,5.5,6.5,5.25,6,,,,,,5.2
52000269,7,6.5,,,,,6,6.5,8.5,,7
52000270,9,6.5,7.5,7.5,6,,,,,,7.8
52000271,5.8,3.75,,,,,3.75,5.5,,,
52000272,7,6.25,,,,,5.75,8.5,,,
52000273,8.2,7.5,,,,,7.5,7.75,9.75,,7.2
52000274,4.6,6,,,,,3.5,5.25,6.75,,2.8
52000275,7.8,6.75,,,,,5.5,7.75,9,,4
52000276,7.2,7,5.75,7.75,5,,,,,,6.8
52000277,7.8,6.41,8,8,6,,,,,,9
52000278,7.8,7.25,5.25,6.5,6,,,,,,8.6
52000279,7,8,,,,,7.5,7.75,,,
52000280,7.6,6.41,5,7.25,5.75,,,,,,8.4
52000281,6.8,6.75,5,6,6,,,,,,5.8
52000282,7.8,8,6.5,6.5,4.5,,,,,,8.4
52000283,6.6,7.75,,,,,6.25,8,,,
52000284,7.2,6.33,6,5.5,5.75,,,,,,5.6
52000285,7.4,8,,,,,6,7.5,8,,6.4
52000286,6.6,7,5.25,6,3,,,,,,8
52000287,7.6,7.75,6.75,7.75,5.5,,,,,,7
52000288,8,7.25,7.5,7.5,6.75,,,,,,8.2
52000289,7.6,7,7,6.75,4.25,,,,,,8.2
52000290,6.4,4.5,,,,,3.75,6.25,,,
52000291,8,7.75,6.5,6.75,4.75,,,,,,4.4
52000292,7.6,5.25,7.25,7.75,5.25,,,,,,9
52000293,4.4,6,,,,,4.25,6.5,,,
52000294,7.8,5.5,7.25,6.75,5,,,,,,6.6
52000295,8,8.25,7.75,7.25,7.75,,,,,,8.8
52000296,4.8,7.5,,,,,4.5,6.5,,,
52000297,6.4,7.75,,,,,6.5,6.75,,,
52000298,5.8,6.5,,,,,5.5,6.75,,,
52000299,5.6,7.5,5.25,4.5,4,,,,,,5.4
52000300,7.4,7.5,,,,,5.5,8.75,,,
52000301,8,7.75,5.5,6,6,,,,,,8.4
52000302,7.4,6.25,5.25,4,5,,,,,,6.4
52000303,6.4,6.75,,,,,5.75,6.5,,,
52000304,8,6.5,6.25,4.5,5.75,,,,,,7.4
52000305,8.2,7.5,6.25,9.25,9,,,,,,9.2
52000306,7,5.75,5.75,7.75,6,,,,,,7.4
52000307,7.2,7.25,5.75,5.25,5.5,,,,,,9
52000308,8.8,7.75,,,,,5.5,8,9,,7.4
52000309,7,6.5,4.75,7.75,5.25,,,,,,9.2
52000310,8.2,7.25,5.25,6.75,5.75,,,,,,9.2
52000311,8.2,7.5,7,7,7.25,,,,,,6.6
52000312,5.8,6.5,5.5,6.5,5,,,,,,7.4
52000313,7,6.25,6,5.25,4.75,,,,,,8.2
52000314,6.6,6,,,,,5.75,6.25,9,,7.4
52000315,8,6.25,6,8.5,7.25,,,,,,9
52000316,8.6,6.75,6.25,7.75,7.75,,,,,,7.4
52000317,7.8,6.5,4.5,6.5,3.75,,,,,,7.2
52000318,8.6,6.75,8,7.25,6,,,,,,8.2
52000319,4.8,6.25,,,,,4,6.5,,,
52000320,7.4,7.75,5.75,7,5.25,,,,,,9.4
52000321,8.2,7,6.25,7.5,6.5,,,,,,8.2
52000322,8,,7.25,7.25,,,,,,,
52000323,7.4,6.5,6,6.75,4,,,,,,5.2
52000324,6.2,6.25,,,,,3.25,6.75,,,
52000325,6.8,7.25,6,7.5,6,,,,,,6.2
52000326,5,6.5,,,,,4.75,6.75,9,,7.8
52000327,7.2,6.75,6,7,6,,,,,,6.2
52000328,6,7.5,,,,,3.5,6.75,,,
52000329,7.4,7.5,,,,,5.5,8.25,9.75,,6.6
52000330,7.6,7.5,7,8,6.25,,,,,,5.4
52000331,5,5.5,,,,,3.25,5,8.75,,3.4
52000332,5.8,5.75,,,,,5.75,7.5,8.25,,3.8
52000333,6.8,7,,,,,4,5.5,8.5,,5.6
52000334,7,6.5,,,,,5,7.75,8,,4.6
52000335,5.4,6,,,,,3,5.5,,,
52000336,6.8,8,,,,,6.5,8,10,,9.2
52000337,7.4,6,5,8.25,5,,,,,,8.2
52000338,4.4,7.75,,,,,3.75,6.75,,,
52000339,7.6,7.5,,,,,3,7,8.75,,7.6
52000340,6.4,8,,,,,7.5,7.25,9.75,,6.6
52000341,8,7.25,8.75,7.5,5.5,,,,,,4.8
52000342,7.8,7.75,6.25,7.25,6,,,,,,9.6
52000343,6.6,7.75,,,,,5.5,7.5,8.75,,8
52000344,6.8,6.75,7.75,8.5,5.75,,,,,,7.6
52000345,6.2,4.75,,,,,2.25,6,7.25,,4
52000346,6.6,5.5,,,,,3.75,5.75,7.5,,7.2
52000347,5.8,5.25,,,,,3.75,6.75,,,
52000348,7.2,6.75,,,,,6,8.25,9.75,,8.8
52000349,7.4,8.25,,,,,5.5,6.5,9.25,,9
52000350,6.6,5.75,6.25,8.75,5.75,,,,,,7
52000351,5.8,8,,,,,4.75,8.75,9.75,,7.8
52000352,7.6,7.25,,,,,5.5,7.5,8.5,,6.6
52000353,7.6,5.5,6.5,6.5,6.5,,,,,,8.2
52000354,4,7.75,4.75,4.5,4.5,,,,,,6.8
52000355,6.8,7.75,,,,,3.5,4.5,8.5,,8.8
52000356,7.6,7,5.5,5.5,6,,,,,,7.8
52000357,8,6.5,4.5,5,4.75,,,,,,4.4
52000358,7.4,8,,,,,3.5,7,8.75,,8
52000359,5.6,8.75,,,,,6.5,7.5,9.25,,4.8
52000360,7,7.5,,,,,6.75,7.5,8.75,,9.4
52000361,6,7.75,,,,,5.25,7.75,8.5,,
52000362,6.8,7.5,5.75,7.75,5.75,,,,,,7.2
52000363,6,7.25,,,,,4.25,6,,,
52000364,7.8,7.25,5.5,7.5,5.75,,,,,,5.6
52000365,6.8,6.75,,,,,6.75,7.5,8,,7.4
52000366,6.8,7.75,,,,,6,7.5,8,,4
52000367,7.4,4.75,6.25,7,6.25,,,,,,5.2
52000368,7.8,8.25,,,,,5,6.25,7.75,,7.6
52000369,6,2.25,,,,,2.75,5.75,,,
52000370,7.4,6.5,,,,,6,7,,,
52000371,4.6,6,,,,,4.25,5.75,9,,4.8
52000372,4,1.75,,,,,3.5,5.25,,,
52000373,7.8,8.5,7,8.25,6.75,,,,,,
52000374,4.2,6,,,,,6,5.75,,,
52000375,7.8,7.5,5.25,7.75,4.5,,,,,,7.2
52000376,8.2,7,,,,,6,7.25,,,
52000377,5.8,6,,,,,3,6.75,7,,5
52000378,7.6,7,7.5,7.75,6.5,,,,,,6.6
52000379,6.4,6.75,,,,,7.5,8.25,8.5,,7
52000380,8,7.25,,,,,6.75,9.25,10,,7
52000381,6,7.5,,,,,7.75,8,9.75,,7.4
52000382,3.6,6.75,,,,,5,5.25,,,
52000383,5.2,6.75,,,,,4.5,6,6.75,,7.6
52000384,7.6,6.75,5,7,5.25,,,,,,5
52000385,6.6,7.25,,,,,4.75,6.75,7.5,,6.6
