SBD,Toan,Van,Ly,Hoa,Sinh,KHTN,Su,Dia,GDCD,KHXH,Anh
52005433,3.8,6.75,,,,,3.75,6.75,7.5,,5.8
52005434,7.4,7.75,,,,,7.5,9.25,8.25,,9.4
52005435,6.8,4.5,7.75,4.5,3.75,,,,,,8.8
52005436,6.8,7,5.25,6.75,3.75,,,,,,5
52005437,7.2,8,6.25,6.25,6.25,,,,,,8
52005438,7.2,7.75,6.25,4,6,,,,,,7.8
52005439,5.2,6.75,,,,,4,6.5,7.5,,3.2
52005440,7,6.25,5.5,6.75,5.25,,,,,,6.6
52005441,7.2,7,,,,,5,9,8.75,,6
52005442,7.2,7.25,5.25,5.25,5.75,,,,,,7.6
52005443,6,6.75,,,,,3,6.75,7.25,,4.8
52005444,7,5.75,,,,,4.25,7.5,9.75,,5.8
52005445,7.2,6.75,4.5,3.25,5.75,,,,,,7
52005446,6.2,6.75,,,,,1.75,6.25,5.5,,5.4
52005447,6.2,6.25,,,,,2.5,5,6.75,,4.4
52005448,7.6,7.25,,,,,4.5,7.5,9,,7.4
52005449,4.8,7,,,,,4,5.75,7,,4.8
52005450,6.2,7.5,,,,,4.5,8,8.5,,6.4
52005451,7.6,7,,,,,6,7.25,8.5,,6.8
52005452,6.8,7,,,,,5.25,6.25,8.25,,6.2
52005453,6,7.25,,,,,3,6.75,7.75,,3.4
52005454,7,7.5,3.75,4.25,4,,,,,,8.4
52005455,5.2,6.5,,,,,3.5,7,7.25,,6.2
52005456,7,7.5,,,,,6,6.5,8.25,,7.6
52005457,6.2,7.25,,,,,4.5,6.75,7.25,,5
52005458,6.2,6.75,5.75,5.5,5,,,,,,7
52005459,7.4,5,5.75,7.75,5.5,,,,,,8
52005460,8.6,8,6.5,6.5,5.75,,,,,,6.6
52005461,7.6,5.5,3.75,3.75,3.5,,,,,,6
52005462,6.2,7,3.5,4.25,2.5,,,,,,7.6
52005463,6.8,7.25,4.75,3,3.75,,,,,,7.2
52005464,7.2,7.75,3.75,6.75,7,,,,,,7.8
52005465,7.6,8.5,6,3.75,3.75,,,,,,9.4
52005466,7.2,7,5.75,5.25,4,,,,,,5.8
52005467,8.2,7,6.25,6.5,4.5,,,,,,5.8
52005468,8,7.25,6.75,5.5,5.5,,,,,,8.6
52005469,8.2,7,6,7.25,4,,,,,,5.8
52005470,6.6,7.5,4,6,4.5,,,,,,4
52005471,7.6,6.5,6.75,4.25,5,,,,,,8.6
52005472,8.4,7,6.5,7,6.75,,,,,,7
52005473,7.8,6,5.5,8.25,4.25,,,,,,3
52005474,7.8,7,6.75,7.25,5.25,,,,,,6.6
52005475,6.4,6.5,5.5,6.75,5.25,,,,,,7.6
52005476,8.2,7,6,7.75,3.5,,,,,,8.2
52005477,5.8,6.5,,,,,4.25,6,8,,3.2
52005478,6.2,5,5.25,6,6,,,,,,3.8
52005479,8.2,7.75,7.5,7.25,6,,,,,,6
52005480,7,6.75,,,,,5.5,7,9.25,,6
52005481,7.2,9.25,,,,,6,8,9.5,,9
52005482,5.6,6.75,,,,,4,5.75,7.5,,5.2
52005483,4.4,7.75,5,3.25,5,,,,,,5.6
52005484,7.6,7.5,,,,,3.25,7,8.75,,7.6
52005485,8,7,,,,,6,7.5,9.5,,8.2
52005486,7.4,6.75,,,,,3.25,6,9,,5.4
52005487,7.2,6.75,4,6.25,6.25,,,,,,5.8
52005488,7.6,7.25,4.5,2.25,4.25,,,,,,7.8
52005489,6.4,8.5,,,,,7,6.75,9.25,,6
52005490,5.4,8,,,,,4.25,5.5,7,,3.2
52005491,5.8,7.75,,,,,4.5,6.25,8,,3.8
52005492,6.2,6.5,,,,,4.5,7,7,,2.4
52005493,5.8,7.25,,,,,3.25,5,6.5,,4
52005494,6.2,8.25,4.25,3.75,4.75,,,,,,7.2
52005495,7.2,7.75,,,,,8.25,9.25,9.25,,7.2
52005496,7.6,6.75,,,,,9.5,7.75,9.5,,7.8
52005497,3.6,7,,,,,4.5,7.25,8,,5.6
52005498,8,7,6.25,5.25,4.25,,,,,,6
52005499,6.4,6.5,,,,,5.5,6.5,8.5,,3.4
52005500,7.4,7,4.75,6.25,5,,,,,,6.6
52005501,6.2,7,,,,,4.25,6,7.5,,7.6
52005502,7.2,7.5,6.5,5,5.5,,,,,,8.6
52005503,6.4,7,,,,,4.75,7,7.5,,4.6
52005504,7.2,7.5,,,,,8.25,8.25,9.25,,4
52005505,6.2,7.25,,,,,6.75,5.75,7.25,,5.8
52005506,7,7.25,5,6.5,6.75,,,,,,9
52005507,6,7.25,,,,,4.5,7,9,,6
52005508,7.4,7,4.75,5.75,6.25,,,,,,7.6
52005509,5.8,7.75,,,,,3,6,7.5,,3.6
52005510,6.2,5.25,,,,,3,5.75,7.5,,5
52005511,7.2,8.25,,,,,8,7.25,10,,9.4
52005512,5.8,7.5,,,,,6,7.25,9,,4.6
52005513,5.4,6,,,,,2.75,5.5,7.25,,3.6
52005514,6,8.5,,,,,5.75,6.75,8.75,,7.8
52005515,5.4,6.5,,,,,3.25,6.5,7.75,,4
52005516,4.8,5.25,3.5,4.25,3.5,,,,,,2.6
52005517,7,7.25,4.25,4.75,3.75,,,,,,6.4
52005518,6,6.25,4.5,4.5,4.5,,,,,,3.8
52005519,7.4,7.5,7.5,7.5,7.5,,,,,,7
52005520,6.8,7.5,6,6.75,5,,,,,,5.2
52005521,8,6,6.25,8.5,3.5,,,,,,5
52005522,5.6,6.25,,,,,2.5,6.5,7.25,,5
52005523,7.6,6,,,,,2.75,8.25,9,,5
52005524,6,6.5,4.25,4.75,4.5,,,,,,4.8
52005525,6.8,4.75,6.75,2.75,5.75,,,,,,9
52005526,6,6.75,,,,,5,6,8.5,,6.4
52005527,7.2,6,3,3.5,4.5,,,,,,6.4
52005528,6.8,6.75,4.75,2.75,5.75,,,,,,5.2
52005529,5,5.75,,,,,4.75,6.75,8.5,,2.6
52005530,7.6,6.25,4.25,4,5.25,,,,,,3.4
52005531,6.8,5.75,4,4.5,4,,,,,,8.4
52005532,8.2,7,6.5,7.25,4.75,,,,,,8.2
52005533,8.8,7,6.5,8.25,5.75,,,,,,5.2
52005534,5.4,6.25,,,,,2.75,5.5,8,,3.4
52005535,6.2,7,5.5,6.25,4.75,,,,,,6.2
52005536,8.6,4.5,4.75,6.75,6.5,,,,,,4.2
52005537,8.8,6.5,7.25,7.25,5.75,,,,,,9.4
52005538,7.8,8.25,,,,,5.5,7.5,8.25,,5.8
52005539,5.2,5,,,,,3.5,5.5,8,,3.2
52005540,7.8,8,5.75,7.5,5,,,,,,8.2
52005541,4.2,4.25,,,,,2.5,5.75,7.5,,3.4
52005542,8.4,7.75,8,8,7.5,,,,,,9.8
52005543,5.2,5,,,,,2.5,6.25,5,,3.4
52005544,7.4,8.25,5.25,7,4.75,,,,,,6.6
52005545,7.8,6.75,4.5,5,4,,,,,,5
52005546,6.6,4.75,4.5,7,5,,,,,,3.6
52005547,6.2,4.25,4.25,5,2.75,,,,,,5.2
52005548,6.8,7.75,,,,,8,9,9,,8.4
52005549,4.8,6.25,,,,,3.25,6.25,6.5,,3.8
52005550,6.6,6.25,7.5,5.75,6.5,,,,,,5.4
52005551,6.2,7.25,5,5.5,5.5,,,,,,6.6
52005552,7.6,6.75,7,8.5,7.25,,,,,,7.8
52005553,7.4,7.25,6.75,5,4.75,,,,,,9.4
52005554,5.6,7.25,6,3.5,5.25,,,,,,7.6
52005555,9.2,8.25,7.5,9.25,6.5,,,,,,8
52005556,7.2,8,6,4,6,,,,,,7.8
52005557,7.8,8.5,,,,,5.75,8,9.75,,8.8
52005558,8.4,6.75,7,6.5,4.5,,,,,,9.2
52005559,6.6,8.25,,,,,4,8,9.5,,7
52005560,4.4,8,5,3.75,4.25,,,,,,4
52005561,7.4,8.25,5.75,4,4.5,,,,,,7.2
52005562,5.8,6.75,,,,,4.75,6.25,8,,6.2
52005563,6,7.5,4.25,8,4.25,,,,,,5
52005564,9,8,6.75,7.5,8,,,,,,9
52005565,3.4,7.75,,,,,4.25,8.25,8,,5.8
52005566,7.6,7,,,,,3,8,8,,3.2
52005567,6,6.75,3.75,6.75,4.5,,,,,,5.6
52005568,8.4,6.75,4.75,8.5,6.25,,,,,,8.2
52005569,7,7,4.5,6.5,5.5,,,,,,4.8
52005570,8,4.75,5,8,8.25,,,,,,5.4
52005571,7,6,6.5,3,5.5,,,,,,9
52005572,5.6,7.5,4.75,5.25,4,,,,,,4
52005573,7.2,7.75,,,,,5.75,7.5,8.5,,9
52005574,6.2,7,5.25,4.5,5,,,,,,7
52005575,3.8,6.5,,,,,4,7.5,7.75,,7.6
52005576,8,8.25,,,,,6,8,9.5,,9
52005577,5.2,5.25,5,5,5.5,,,,,,7.2
52005578,5.2,8,,,,,6.75,7.75,8.75,,8.6
52005579,6,6.75,,,,,3.25,5.25,5.75,,6.4
52005580,5.6,8.25,4.25,4.75,4,,,,,,8.6
52005581,6.8,8.5,6.75,4.75,5.25,,,,,,8.2
52005582,8,7.25,,,,,8.5,8.75,9.75,,5.8
52005583,4.8,7.75,,,,,6.5,9,9.25,,8.8
52005584,6,7,,,,,5.75,7.25,9.75,,5
52005585,6.2,5,4.75,4,4,,,,,,2.8
52005586,6.2,8.25,,,,,6.25,7.75,9.5,,7.8
52005587,6.6,8.25,5.25,5.75,4.25,,,,,,8.2
52005588,8,8.75,4.25,3.5,6.5,,,,,,8.6
52005589,8.4,8,4.25,8,8,,,,,,7.2
52005590,4.4,6.25,,,,,3.5,5.5,8,,4
52005591,5.2,7.5,,,,,3,6.5,8.5,,4.2
52005592,8.4,7.5,7.5,6.5,8,,,,,,8
52005593,6.2,6.5,6.25,6.25,6,,,,,,6.6
52005594,8.2,6.75,5,6.5,5,,,,,,4.6
52005595,6.6,7,,,,,4.25,7.5,7.75,,5.8
52005596,5.8,6.5,4.75,6.25,4.25,,,,,,6.2
52005597,6.6,6.75,,,,,3.75,6,9,,6
52005598,7.2,8,,,,,4.25,7.25,9.25,,8.2
52005599,7.4,8,,,,,7.25,9.5,9,,8.8
52005600,6.2,8,,,,,7.75,6.75,8.75,,5.4
52005601,8,7.5,,,,,5.25,7,9.75,,7.2
52005602,6,7.5,7.75,6.5,5.75,,,,,,4.6
52005603,5.2,7.5,,,,,5.5,6.5,8.5,,6.8
52005604,8,8.5,,,,,7.75,8,9,,8
52005605,6.4,8,,,,,6.5,7.75,9.25,,7.4
52005606,8.4,7.5,7.5,6,5.25,,,,,,8.4
52005607,5.2,7.5,6,6,5.25,,,,,,4.4
52005608,7.8,8.25,,,,,3.5,7.25,10,,9
52005609,6.6,6.25,3.25,5,3.25,,,,,,5.6
52005610,8,7.5,6.5,7.5,7,,,,,,8.4
52005611,7.8,8.5,6.75,8.25,4.75,,,,,,8
52005612,7.4,8,7.25,7,6.5,,,,,,7.4
52005613,6.6,8.25,,,,,5,7.5,9.75,,5
52005614,7.2,6.25,5.75,5.75,4.5,,,,,,3
52005615,6.2,5,5.75,5,4.25,,,,,,3.8
52005616,6.4,6.75,5,6.25,5.5,,,,,,3.8
52005617,7.2,5.75,5.5,7.5,5.5,,,,,,7.4
52005618,6.8,8,7.5,6.5,3.75,,,,,,9
52005619,5.8,7.75,,,,,6.75,7.25,9.25,,3.2
52005620,3,8,,,,,5.5,,,,
52005621,7.2,6.75,5.25,3.5,4.75,,,,,,2.4
52005622,8.4,7.25,,,,,6.75,9.25,9.75,,8.6
52005623,,6.75,,,,,6.75,8,,,
52005624,6.8,6.75,,,,,7.5,9,9.25,,4.4
52005625,6.2,5.5,,,,,2.5,5.75,8,,3.6
52005626,4.8,6.75,,,,,7,7.75,9.75,,6.4
52005627,5.8,5.25,,,,,4.75,6.5,8.25,,8.2
52005628,7.8,8,6.75,7.25,6,,,,,,7.2
52005629,6.8,7.75,6.5,5.5,5.5,,,,,,9.8
52005630,7.8,6.75,6.75,8,4.5,,,,,,4.8
52005631,7,6.25,5.75,7,7,,,,,,7.4
52005632,8,7,6.25,7,6,,,,,,8.8
52005633,7.8,7.75,7.25,7,7.5,,,,,,9.2
52005634,6.8,7.25,,,,,5.5,6.75,9.5,,5.8
52005635,8,8.5,7.5,7.5,5.25,,,,,,8
52005636,8.8,7.5,7.75,8.5,5.75,,,,,,7.4
52005637,7,7.25,6.25,7.5,4.75,,,,,,8
52005638,7.4,7,,,,,7.75,9,9.75,,6.2
52005639,7.8,7.25,5.75,6.25,5.5,,,,,,4.8
52005640,6.6,5.75,5.75,6.75,6.25,,,,,,8.8
52005641,8.4,6.5,8,6.25,6.5,,,,,,9.8
52005642,7.4,7.25,6.25,8,6.25,,,,,,8
52005643,6.4,6.5,4.25,7.5,5.75,,,,,,3.4
52005644,7,6.5,6.5,6.25,6.75,,,,,,9.4
52005645,7.4,6.75,,,,,7,8,10,,5
52005646,5.4,7.25,,,,,3,6,7.25,,3.6
52005647,8.6,7.75,8.5,9,5.25,,,,,,9.4
52005648,4,6.25,5,4.5,4.75,,,,,,2.8
52005649,7.4,6.75,4.5,5.25,3.75,,,,,,4.2
52005650,4.4,5.25,,,,,3.5,6.75,7.25,,3.4
52005651,3.6,5.5,,,,,2.75,6.25,7,,4
52005652,6.2,7.75,,,,,4,7.25,9.25,,5.4
52005653,7.8,7.25,5.75,6.25,4.5,,,,,,6.4
52005654,8.4,7,8,7.25,6.25,,,,,,9.8
52005655,6,6,4.25,4.5,5.5,,,,,,3
52005656,8,6.75,,,,,6.5,8.25,9.25,,4.2
52005657,8.4,7.25,6.25,8,4.75,,,,,,7.2
52005658,8.4,7.5,6.75,7.25,4.75,,,,,,7.4
52005659,7.8,6,7.5,7,5.5,,,,,,7
52005660,5.2,7,4.5,4,4.5,,,,,,4
52005661,8.6,7,7,6.5,7.5,,,,,,8.6
52005662,8.4,9,,,,,,,,,9
52005663,7.2,8.75,7.5,6.75,7.25,,,,,,5
52005664,8.2,8.75,7.5,7.25,6.75,,,,,,6.8
52005665,5.8,7.25,,,,,6.75,7.5,8.75,,3.4
52005666,8.8,8,8.75,8.5,6.5,,,,,,8
52005667,5.4,6,3.5,3.5,4.75,,,,,,3.4
52005668,7.8,8.25,,,,,7.25,8.25,9.25,,6.6
52005669,6.2,5.25,,,,,3.5,7.75,7,,5
52005670,7,6,6.25,4.75,4.25,,,,,,8.6
52005671,7.4,6.25,5.75,6,5.25,,,,,,7.4
52005672,6.4,6.5,5,5.75,5,,,,,,7.2
52005673,7.4,6.75,,,,,6.5,7.5,9,,4.2
52005674,7.4,7.5,4.25,6,5.25,,,,,,9
52005675,7.2,5.5,,,,,4,7.5,8.25,,4.2
52005676,6.8,5.5,,,,,5,6.25,9.75,,5.2
52005677,8,,7.75,7.25,,,,,,,
52005678,7,6.75,3,6.75,3.75,,,,,,4.4
52005679,8.4,8.5,7.5,8,7.5,,,,,,7.8
52005680,8.4,7,5.5,6,4.25,,,,,,4.8
52005681,7.4,7,,,,,7,8.5,9.75,,4.4
52005682,5.2,6.5,,,,,4,6.5,7.75,,3.4
52005683,4,6.25,,,,,,,,,7.4
52005684,5.4,6,,,,,4.25,6,8.5,,6.2
52005685,5.8,5.75,,,,,3,8,9.5,,4.6
52005686,7.6,6.25,5.75,7.25,5.25,,,,,,6.2
52005687,8.6,6.5,7.5,8.25,6.25,,,,,,8.4
52005688,5.4,6.25,,,,,4,8,8,,3.2
52005689,5,7,3,3.25,3.75,,,,,,2.2
52005690,8.4,8,7.25,8,4,,,,,,7.6
52005691,5,6.75,5,5.75,3.25,,,,,,3.4
52005692,6.4,5,5.25,4,4.25,,,,,,3.6
52005693,5,4.25,6,4.5,4.25,,,,,,2.4
52005694,7.4,6.5,6.5,5.75,4.5,,,,,,4.8
52005695,6,3.25,,,,,3,6.25,6.25,,3.8
52005697,8.2,7.5,7,8.25,7,,,,,,8.2
52005698,5.8,5.25,,,,,5.5,6.25,7.5,,5
52005699,7.6,6.25,,,,,8.5,8.5,9.75,,5.6
52005700,8.6,6.5,7.25,8,5.5,,,,,,8.2
52005701,6.8,6,,,,,8,7.25,9.75,,3.8
52005702,7.6,6.5,6,7.25,5.75,,,,,,7.2
52005703,5.4,7.75,,,,,5.75,7.25,9.5,,2.8
52005704,8,8,5.75,8.5,8.25,,,,,,4.6
52005705,7.2,7.5,4.75,5.5,5.5,,,,,,3.2
52005706,8.4,7,7.75,7.25,6.5,,,,,,9.6
52005707,7,7.5,,,,,6.5,7.5,9.75,,4.8
52005708,7.6,7,6.5,6.75,5,,,,,,9.4
52005709,7.8,7.25,6.5,7.5,6.5,,,,,,7.8
52005710,7.8,7.75,5.75,5.75,6.5,,,,,,7.6
52005711,7.6,6.5,6.5,4.75,5.5,,,,,,6.4
52005712,7.4,7.75,,,,,6,8.5,9.5,,6.4
52005713,8.4,7.25,7.75,9.25,6.75,,,,,,7.2
52005714,7.2,6.5,5,7,5.25,,,,,,3.6
52005715,8.6,7.5,8.5,8.25,5.75,,,,,,8.2
52005716,7.8,7.5,6.75,7.75,6.75,,,,,,7.4
52005717,6.4,4,,,,,4.25,7.5,7,,4.8
52005718,7.4,6,6.5,7.25,5.25,,,,,,6.4
52005719,3.8,6.25,3.5,5.25,4,,,,,,3.8
52005720,4,6.25,,,,,4.5,6.75,8,,4
52005721,6.2,7.66,,,,,5.5,6.25,9,,6.2
52005722,4.2,3,,,,,4.5,5.25,3.75,,3.2
52005723,6.4,5.75,6.25,5.5,7,,,,,,2.6
52005724,,6.25,,,,,,,,,
52005726,5.6,4,,,,,3.75,5.25,7,,1.6
52005727,7.6,7.5,,,,,7.5,9.5,9.75,,6.4
52005728,8.4,6.5,7.25,7.5,6.75,,,,,,3.6
52005729,4.6,5.75,,,,,4.25,7.5,8.25,,2.8
52005730,6.2,6.25,,,,,3.25,7,9.5,,4.4
52005731,7.2,6.25,5.25,5.25,5.5,,,,,,5.2
52005732,7.6,5.75,4.25,4.75,5.5,,,,,,4.6
52005733,7.2,4,6,7,7.5,,,,,,5.8
52005734,6.2,4.25,,,,,7,8.5,9,,3.8
52005735,6.8,5,5,5.5,5.25,,,,,,4.6
52005736,7.6,5.25,,,,,4,6.5,8.5,,4.6
52005738,8.4,7.5,5.5,7.75,4.25,,,,,,6.2
52005739,8.4,7.25,7,8.75,8,,,,,,9.6
52005740,8.2,7,6,6.75,5.5,,,,,,6.4
52005741,6.2,,,6,4.25,,,,,,
52005742,5.8,6,,,,,4.75,6.25,8.25,,3.8
52005743,7,7,5.75,6,5.25,,,,,,5.4
52005744,5.8,6.25,,,,,3,6.75,9.75,,4.6
52005745,6.8,6,,,,,5,8,9.5,,7.4
52005746,7.8,7.5,,,,,3.5,7.75,8.5,,5.2
52005747,7.2,6,,,,,6.5,7.5,9.25,,4.8
52005748,8.6,7,8.25,8.75,6.75,,,,,,7.6
52005749,8.6,7.5,7.75,7,6,,,,,,8
52005750,6.4,6,,,,,7.25,7,9,,3.4
52005751,8,6,6.75,7,5.75,,,,,,4.8
52005752,7.4,7.25,,,,,7.75,8,9,,9.4
52005753,6.6,8,,,,,8.75,9.25,9.75,,9.6
52005754,8.4,6.5,6.75,6.75,4.75,,,,,,7.6
52005755,8,7,5.75,7.5,6.5,,,,,,5.2
52005756,8.2,6.25,7.5,7.75,5.75,,,,,,8.2
52005757,3.8,4,,,,,3,4.75,5.25,,5.2
52005758,4.6,5.25,5,5.25,5.75,,,,,,2.2
52005759,8.4,7.5,7.5,7.5,6.5,,,,,,7
52005760,8.4,7.5,8,8,4.75,,,,,,7.2
52005761,6.4,5,8.75,7.75,5.5,,,,,,7.6
52005762,8,7.5,6.25,6.25,5,,,,,,5.8
52005763,6.2,6.75,,,,,5,7,9.25,,4.4
52005764,7.8,7.25,8.75,8.25,6.25,,,,,,8.2
52005765,7.2,7.75,,,,,5.75,9.25,9.25,,8
52005766,,7.25,,,,,7,7,9.75,,9
52005767,8.2,5.75,7.5,6.5,6,,,,,,9
52005768,7.2,5.5,,,,,4.5,8,8,,4
52005769,7.8,5.25,7,7.25,6.75,,,,,,7.6
52005770,8.8,5.75,8,7.25,5.75,,,,,,9.2
52005771,3,4.25,,,,,5,,,,
52005772,7.4,5.5,,,,,7.75,8.25,9.75,,3.6
52005773,7.4,7.75,,,,,8.5,8.25,9.25,,8.4
52005774,9,6.75,8.25,6.75,6.25,,,,,,9.6
52005775,4.8,6.5,,,,,2.25,6.5,7,,6.2
52005776,,,,,,,,,,,3.2
52005777,6.6,7.75,,,,,4.25,7.25,8,,5.2
52005778,8.6,8.25,5.75,7.75,8,,,,,,5
52005779,7.8,6.5,6.5,5.25,4.75,,,,,,5
52005780,7.6,7,7.25,7.75,5,,,,,,8.4
52005781,6.8,7.25,6,5,5.25,,,,,,5
52005782,7,5.75,,,,,4.75,7,9,,2.8
52005783,6.8,7.25,,,,,5.75,7.25,9.25,,4.8
52005784,8.2,,6.5,7.25,,,,,,,
52005785,8.6,7,7.75,5.25,6,,,,,,8.2
52005786,8.2,7,5.5,8.25,8.5,,,,,,8.4
52005787,5.6,6.75,3.5,5,5.25,,,,,,6.4
52005788,8.4,6.25,8,8,5.5,,,,,,7.6
52005789,7.8,5.25,7,7,5.5,,,,,,6
52005790,7.8,6.25,,,,,6.75,8.75,9.25,,5.6
52005791,7,7.75,7.25,5.25,4.25,,,,,,6
52005792,6.4,5.75,5,4.25,4,,,,,,3.4
52005793,5,6.25,,,,,5.5,6.75,8,,4.4
52005794,4.2,5.75,,,,,4.75,5.75,9.25,,3.6
52005795,8.4,7.5,7.25,7,7.25,,,,,,8
52005796,4.8,6,,,,,3,5.75,7.25,,3.4
52005797,6.4,6.5,,,,,4.5,,,,
52005798,7.4,7.25,,,,,5.75,6.75,9.75,,7
52005799,8.2,6.5,8,8,8,,,,,,9.2
52005800,7.4,6,6.5,6,6.25,,,,,,5
52005801,5.2,6.5,,,,,5.75,6.75,7.75,,5
52005802,5.6,6.25,5.5,6,2.25,,,,,,3.6
52005803,7.8,7.5,6.5,7.75,5.5,,,,,,6
52005804,6.4,7.75,,,,,5.25,8,9.75,,5.2
52005805,7.4,7.75,5.75,6,5.25,,,,,,7.6
52005806,7.2,7.25,,,,,5.75,8,9.25,,8.8
52005807,6.2,7.5,,,,,5.25,7.75,9.5,,2.6
52005808,7.4,7.5,7.75,7.75,4.75,,,,,,7.4
52005809,5.4,7.5,,,,,7,8.75,9.75,,6.6
52005810,8,7.25,,,,,6.5,9,10,,9.2
52005811,8,6.75,,,,,8.25,8,10,,6.4
52005812,6,6.5,,,,,4.75,7,9,,3
52005813,5,4.75,,,,,4.25,6.25,9,,4.4
52005814,7.8,7,7,6.25,5.5,,,,,,9
52005815,7.4,8.25,,,,,7.75,9,9.5,,8.6
52005816,8.8,7.5,6.75,8,9,,,,,,8.8
52005817,7.2,8.25,,,,,8.5,8.25,9.75,,5.4
52005818,8,7.75,6.25,7.25,7.25,,,,,,6.8
52005819,6.2,6.25,5,6.25,3.75,,,,,,4.4
52005820,8,7.75,6.75,7.75,8.75,,,,,,8.8
52005821,8.8,,8,8.25,,,,,,,
52005822,9.2,7,9,6.5,6.5,,,,,,9.8
52005823,5.8,5.25,,,,,6.25,7.5,8.25,,3
52005824,7.8,6.25,7.5,7.75,5.75,,,,,,6.2
52005825,7.2,5.25,5.5,5.5,5.75,,,,,,2.8
52005826,8.4,7.25,8.25,7.5,7.75,,,,,,8.8
52005827,5.4,4.75,,,,,7.25,7.25,7.25,,3.8
52005828,8.4,7.75,5.25,6,7,,,,,,3.2
52005829,,5.25,,,,,6.75,7.25,,,
52005830,6.8,8.25,,,,,8.25,8,9.75,,8.4
52005831,7.2,6,6.5,7.5,7.25,,,,,,6.8
52005832,6.4,5.5,5,7.25,5.25,,,,,,2
52005833,6.4,5.75,,,,,7.5,8,9.5,,3.8
52005834,6,8.25,5.25,7,5,,,,,,4.6
52005835,8.2,6,8.25,8.5,5,,,,,,8.2
52005836,8.6,5.5,6.75,8,6.25,,,,,,8.2
52005837,8.6,7.75,7.75,7,7.75,,,,,,9.6
52005838,5,6.75,,,,,3.75,6,8.25,,4
52005839,6.2,6,6,5,4.5,,,,,,4.8
52005840,6,6.75,,,,,4.25,6,8.5,,4.4
52005841,7.6,6.75,6.25,8.25,8.5,,,,,,9
52005842,5.2,6.5,,,,,5.25,7.5,9.25,,5.4
52005843,5.8,6.5,,,,,6.75,,,,
52005844,7.8,6.5,7.5,6.75,4.75,,,,,,9.8
52005845,6.8,6.75,7.75,7,6.5,,,,,,8.6
52005846,6.8,6.25,4.75,5,4.25,,,,,,3.6
52005847,7.8,6,4.75,5.5,5,,,,,,8.8
52005848,8.6,6.5,8,8.5,6.5,,,,,,7.8
52005849,8,7,6.75,6.5,5,,,,,,7.8
52005850,8,6.75,7,5.5,4.25,,,,,,7.6
52005851,7,7.75,,,,,6.75,7.5,9.5,,7.4
52005852,8.2,7.25,6.75,6.25,4,,,,,,8
52005853,7.4,8,6.5,5.75,5.75,,,,,,9.4
52005854,7.6,7.25,6.5,8,5,,,,,,7.2
52005855,6.6,6,4.75,5.5,4.5,,,,,,4.6
52005856,7.2,6.5,,,,,5.75,7.25,8.5,,4.6
52005857,7.6,6.75,5,6,5,,,,,,2.8
52005858,4.8,2.75,,,,,4.75,,,,
52005859,6.2,4.25,5,4,6.5,,,,,,6.2
52005860,6,4,6,4.5,3.75,,,,,,6
52005861,6.8,5.75,,,,,4.25,7.25,8.5,,3
52005862,6.6,5.75,5.25,6.25,4,,,,,,6
52005863,7.8,8.75,8.25,7.75,6.75,,,,,,7.6
52005864,8.2,7.75,,,,,6.75,8,9.5,,8.2
52005865,7.6,7.25,6.5,7.75,4.75,,,,,,4.8
52005866,7.4,7.25,7.25,8.25,6.5,,,,,,7.8
52005867,7.4,7.75,7,7.25,5.5,,,,,,9
52005868,8.6,6.75,8,6.75,7.25,,,,,,7.4
52005869,8.6,7.25,7.5,8,7.25,,,,,,9.4
52005870,7.2,7.75,5.5,7,6.5,,,,,,6.4
52005871,8,8,6.75,6.75,5.25,,,,,,5.6
52005872,7.4,7.75,6.5,8.5,8,,,,,,8.6
52005873,7.8,6,6,6,2.75,,,,,,2.6
52005874,6.6,6.75,,,,,3.5,6.5,7.5,,4.8
52005875,4.6,6.25,,,,,5,6.75,8.5,,6
52005876,7.8,7,6.25,6.5,6.5,,,,,,4.6
52005877,5.8,7.25,,,,,3.75,6.25,8,,5.6
52005878,5.6,3.5,,,,,3.25,6.5,6.25,,3.4
52005879,7.2,6.75,6.25,6.75,4.75,,,,,,7.6
52005880,7.2,5.75,5.75,7,4.5,,,,,,5
52005881,7.6,6.75,7.25,6.75,5,,,,,,8
52005882,7.4,5.75,6.5,7,5.25,,,,,,2.8
52005883,9,6.75,7.5,8.5,6.75,,,,,,8.8
52005884,7.6,6.25,6.25,7.75,5.5,,,,,,5.6
52005885,5.4,5.5,,,,,2,6.75,7,,3.8
52005886,7,7.5,7,6.75,5.5,,,,,,4.6
52005887,8.2,,6.25,,,,,,,,8.2
52005888,7.6,7.75,7,7.25,6,,,,,,6.6
52005889,8.2,7.25,8,7,6.75,,,,,,7.4
52005890,8.4,7.75,7.25,7.75,5.75,,,,,,8.2
52005891,7.4,7.5,6.25,8.5,5.5,,,,,,7.6
52005892,8.2,8.5,7.75,8.25,6,,,,,,8.8
52005893,,6,,,,,8.75,9,,,
52005894,5,5.75,4.75,3.25,2.75,,,,,,3.4
52005895,7,6.75,,,,,4.75,6.5,9,,4.6
52005896,8.2,7.75,6,8.5,6,,,,,,7.2
52005897,7.4,8,4.75,5.75,4.25,,,,,,4
52005898,6.8,6.75,5,5.75,5.25,,,,,,6.2
52005899,4.8,3.25,5.5,4.5,5.25,,,,,,3.6
52005900,7.8,5.75,6.5,7.5,6.5,,,,,,6.6
52005901,4.8,7,,,,,4.25,6,8.5,,5.8
